#HistoryID	ComplaintID	Action	OldStatus	NewStatus	OldPriority	NewPriority	ChangedBy	Remarks	Timestamp
HIST-1787639324422	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 11:58:44
HIST-1787639389899	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 11:59:49
HIST-1787639389943	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 11:59:49
HIST-1787639389947	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 11:59:49
HIST-1787639664739	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:04:24
HIST-1787639664763	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:04:24
HIST-1787639664766	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:04:24
HIST-1787639990661	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:09:50
HIST-1787639990683	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:09:50
HIST-1787639990688	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:09:50
HIST-1787640305168	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:15:05
HIST-1787640305200	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:15:05
HIST-1787640305203	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:15:05
HIST-1787640416423	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:16:56
HIST-1787640416463	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:16:56
HIST-1787640416467	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:16:56
HIST-1787640449826	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:17:29
HIST-1787640449847	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:17:29
HIST-1787640449850	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:17:29
HIST-1787761716479	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 21:58:36
HIST-1787761716507	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 21:58:36
HIST-1787761716510	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 21:58:36
HIST-1787761962203	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:02:42
HIST-1787761962231	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:02:42
HIST-1787761962236	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:02:42
HIST-1787761995827	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:03:15
HIST-1787761995856	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:03:15
HIST-1787761995859	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:03:15
HIST-1787762041179	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:04:01
HIST-1787762041206	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:04:01
HIST-1787762041212	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:04:01
HIST-1787762084354	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:04:44
HIST-1787762084381	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:04:44
HIST-1787762084385	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:04:44
HST-10001	CMP-101	COMPLAINT_SUBMITTED		NEW		CRITICAL	TEST-CUST-999	Persistence Test User	1788322705076	Complaint created by customer.
HST-10002	CMP-101	STATUS_CHANGE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STF-103	Walter White	1788322705117	Technician dispatched to shut off main valve.
HST-1	CMP-101	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-01	John Doe	1786076341227	Initial ticket creation.
HST-501	CMP-101	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786090741227	Status updated to Assigned
HST-2	CMP-102	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-02	Alice Smith	1786097941227	Initial ticket creation.
HST-502	CMP-102	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786112341227	Status updated to In Progress
HST-3	CMP-103	COMPLAINT_SUBMITTED		NEW		LOW	CUST-03	Robert Brown	1786119541227	Initial ticket creation.
HST-503	CMP-103	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1786133941227	Status updated to Resolved
HST-4	CMP-104	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-04	Emily Clark	1786141141227	Initial ticket creation.
HST-504	CMP-104	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786155541227	Status updated to Closed
HST-5	CMP-105	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-05	Michael Scott	1786162741227	Initial ticket creation.
HST-505	CMP-105	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786177141227	Status updated to Escalated
HST-6	CMP-106	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-01	John Doe	1786184341227	Initial ticket creation.
HST-506	CMP-106	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1786198741227	Status updated to Waiting for Customer
HST-7	CMP-107	COMPLAINT_SUBMITTED		NEW		LOW	CUST-02	Alice Smith	1786205941227	Initial ticket creation.
HST-507	CMP-107	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1786220341227	Status updated to Reopened
HST-8	CMP-108	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-03	Robert Brown	1786227541227	Initial ticket creation.
HST-9	CMP-109	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-04	Emily Clark	1786249141227	Initial ticket creation.
HST-509	CMP-109	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786263541227	Status updated to Assigned
HST-10	CMP-110	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-05	Michael Scott	1786270741227	Initial ticket creation.
HST-510	CMP-110	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786285141227	Status updated to In Progress
HST-11	CMP-111	COMPLAINT_SUBMITTED		NEW		LOW	CUST-01	John Doe	1786292341227	Initial ticket creation.
HST-511	CMP-111	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1786306741227	Status updated to Resolved
HST-12	CMP-112	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-02	Alice Smith	1786313941227	Initial ticket creation.
HST-512	CMP-112	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1786328341227	Status updated to Closed
HST-13	CMP-113	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-03	Robert Brown	1786335541227	Initial ticket creation.
HST-513	CMP-113	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786349941227	Status updated to Escalated
HST-14	CMP-114	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-04	Emily Clark	1786357141227	Initial ticket creation.
HST-514	CMP-114	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1786371541227	Status updated to Waiting for Customer
HST-15	CMP-115	COMPLAINT_SUBMITTED		NEW		LOW	CUST-05	Michael Scott	1786378741227	Initial ticket creation.
HST-515	CMP-115	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1786393141227	Status updated to Reopened
HST-16	CMP-116	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-01	John Doe	1786400341227	Initial ticket creation.
HST-17	CMP-117	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-02	Alice Smith	1786421941227	Initial ticket creation.
HST-517	CMP-117	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1786436341227	Status updated to Assigned
HST-18	CMP-118	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-03	Robert Brown	1786443541227	Initial ticket creation.
